Standard Title,Standard Type,Standard Info Latest,Value,Edition Date,Standard Infotyp
N/A,N/A,N/A,N/A,N/A,N/A
Standard for Flexible Metal Conduit,(Ed. 11),UL,1,"February 16, 2005",Type: ulstd
Standard for Armored Cable,(Ed. 15),UL,4,"January 15, 2004",Type: ulstd
Standard for Surface Metal Raceways and Fittings,(Ed. 15),UL,5,"May 24, 2016",Type: ulstd
Nonmetallic Surface Raceways and Fittings,(Ed. 4),UL,5A,"June 26, 2015",Type: ulcsa
Standard for Strut-Type Channel Raceways and Fittings,(Ed. 2),UL,5B,"April 14, 2004",Type: ulstd
"Standard for Surface Raceways and Fittings for Use with Data, Signal, and Control Circuits",(Ed. 3),UL,5C,"April 22, 2016",Type: ulstd
Electrical Rigid Metal Conduit - Steel,(Ed. 15),UL,6,"November 28, 2022",Type: ulcsance
Standard for Electrical Rigid Metal Conduit - Aluminum and Stainless Steel,(Ed. 2),UL,6A,"October 31, 2008",Type: ulcsance
Outline of Investigation for Pump Tank Extinguishers,(Ed. 3),UL,7,"November 17, 2006",Type: outline
Water Based Agent Fire Extinguishers,(Ed. 7),UL,8,"November 25, 2016",Type: ululc
Standard for Fire Tests of Window Assemblies,(Ed. 8),UL,9,"July 02, 2009",Type: ulstd
Subject 10 - Fire Doors,(Ed. 1),UL,10,"March 30, 2015",N/A
Guide for Evaluating Doors and Frames for Listing and Labelling,(Ed. 1),ULC,10,"November 01, 1986",N/A
Standard for Tin-Clad Fire Doors,(Ed. 21),UL,10A,"January 30, 2009",Type: ulstd
Standard for Fire Tests of Door Assemblies,(Ed. 10),UL,10B,"February 07, 2008",Type: ulstd
Seguridad contra incendio - Conjuntos de montaje de puertas contra incendio - Método de prueba de presión positiva. ,(Ed. 1),NMX,PROY- NMX-S-10C-UL-2021,"February 24, 2021",Type: nmx
Standard for Positive Pressure Fire Tests of Door Assemblies,(Ed. 3),UL,10C,"June 09, 2016",Type: ulstd
Standard for Fire Tests of Fire-Protective Curtain Assemblies,(Ed. 2),UL,10D,"September 29, 2017",Type: ulstd
Standard for Power-Limited Circuit Cables,(Ed. 4),UL,13,"March 18, 2015",Type: ulstd
Guide for Hardware for Fire Doors and Emergency Exits,(Ed. 1),ULC,14,"July 01, 1985",N/A
"Standard for Sliding Hardware for Standard, Horizontally Mounted Tin-Clad Fire Doors",(Ed. 9),UL,14B,"December 15, 2008",Type: ulstd
Standard for Swinging Hardware for Standard Tin-Clad Fire Doors Mounted Singly and in Pairs,(Ed. 8),UL,14C,"October 27, 2006",Type: ulstd
Standard for Lined Fire Hose and Hose Assemblies,(Ed. 14),UL,19,"August 13, 2018",Type: ulstd
Guidance for Lined Fire Hose and Hose Assemblies,(Ed. 1),UL,19G,"August 13, 2018",N/A
General-Use Snap Switches,(Ed. 14),UL,20,"July 20, 2018",Type: ulcsance
Standard for LP-Gas Hose,(Ed. 11),UL,21,"December 15, 2014",Type: ulstd
Standard for Amusement and Gaming Machines,(Ed. 6),UL,22,"May 30, 2008",Type: ulstd
Meters for Flammable and Combustible Liquids and LP-Gas / Compteurs de liquides inflammables et combustibles et de gaz de pétrole liquéfié,(Ed. 10),UL,25,"October 27, 2021",Type: ulcanada
ANSI/CAN/UL/ULC Meters for Flammable and Combustible Liquids and LP-Gas	 / Compteurs de liquides inflammables et combustibles et de gaz de pétrole liquéfié,(Ed. 10),ULC,25,"October 27, 2021",Type: canulc
Meters for Gasoline and Gasoline/Ethanol Blends with Nominal Ethanol Concentrations up to 85 Percent (E0 - E85),(Ed. 1),UL,25A,"July 30, 2014",Type: ulstd
"Meters for Diesel Fuel, Biodiesel Fuel, Diesel/Biodiesel Blends with Nominal Biodiesel Concentrations up to 20 Percent (B20), Kerosene, and Fuel Oil",(Ed. 1),UL,25B,"July 30, 2014",Type: ulstd
Metallic and Nonmetallic Safety Cans for Flammable and Combustible Liquids / Les bidons de sécurité métalliques et non métalliques pour liquides inflammables et combustibles,(Ed. 10),UL,30,"April 29, 2022",Type: ulcanada
Metallic and Nonmetallic Safety Cans for Flammable and Combustible Liquids / Les bidons de sécurité métalliques et non métalliques pour liquides inflammables et combustibles,(Ed. 10),ULC,30,"April 29, 2022",Type: ulc
Standard for Metal Waste Cans,(Ed. 5),UL,32,"September 29, 1994",Type: ulstd
Heat Responsive Links for Fire-Protection Service / LIENS SENSIBLES À LA CHALEUR POUR LE SERVICE DE PROTECTION CONTRE LES INCENDIES,(Ed. 9),UL,33,"June 21, 2021",Type: ulstd
Heat Responsive Links for Fire-Protection Service / LIENS SENSIBLES À LA CHALEUR POUR LE SERVICE DE PROTECTION CONTRE LES INCENDIES,(Ed. 9),ULC,33,"June 21, 2021",Type: ululcanada
Standard for Manual Signaling Boxes for Fire Alarm Systems,(Ed. 8),UL,38,"July 03, 2008",Type: ulstd
Thermoset-Insulated Wires and Cables,(Ed. 19),UL,44,"January 09, 2018",Type: ulcsance
Standard for Semiautomatic Fire Hose Storage Devices,(Ed. 6),UL,47,"April 27, 2004",Type: ulstd
Semiautomatic Fire Hose Storage Devices,(Ed. 7),UL,47,"March 03, 2023",Type: ulstd
Preliminary Standard for Fire Hose Rack Assemblies,(Ed. 1),ULC,47,"July 01, 1973",N/A
Standard for Electric Signs,(Ed. 15),UL,48,"September 02, 2011",Type: ulstd
"Enclosures for Electrical Equipment, Non-Environmental Considerations",(Ed. 13),UL,50,"October 16, 2015",Type: ulcsance
"Enclosures for Electrical Equipment, Environmental Considerations",(Ed. 3),UL,50E,"October 15, 2020",Type: ulcsance
Outline of Investigation for Infrared Viewports,(Ed. 2),UL,50V,"October 11, 2019",Type: outline
Outline of Investigation for Infrared Viewports,(Ed. 3),UL,50V,"September 25, 2023",Type: outline
"Power-Operated Pumps and Bypass Valves for Anhydrous Ammonia, LP-Gas, and Propylene",(Ed. 11),UL,51,"May 15, 2023",Type: ulstd
Standard for Materials for Built-Up Roof Coverings,(Ed. 13),UL,55A,"November 19, 2004",Type: ulstd
Standard for Materials for Built-Up Roof Coverings,(Ed. 14),UL,55A,"March 10, 2008",N/A
Standard for Steel Underground Tanks for Flammable and Combustible Liquids,(Ed. 10),UL,58,"January 31, 2018",Type: ulstd
Overfill Protection Devices for Flammable Liquid Storage Tanks,(Ed. 1),ULC,58.15,"September 01, 2004",N/A
Flexible Cords and Cables,(Ed. 20),UL,62,"July 06, 2018",Type: ulcsance
