Standard Title,Standard Type,Standard Info Latest,Edition Date,Standard Infotyp
Standard for Flexible Metal Conduit,(Ed. 11),UL,"February 16, 2005",Type: ulstd
Standard for Armored Cable,(Ed. 15),UL,"January 15, 2004",Type: ulstd
Standard for Surface Metal Raceways and Fittings,(Ed. 15),UL,"May 24, 2016",Type: ulstd
Nonmetallic Surface Raceways and Fittings,(Ed. 4),UL,"June 26, 2015",Type: ulcsa
Standard for Strut-Type Channel Raceways and Fittings,(Ed. 2),UL,"April 14, 2004",Type: ulstd
"Standard for Surface Raceways and Fittings for Use with Data, Signal, and Control Circuits",(Ed. 3),UL,"April 22, 2016",Type: ulstd
Electrical Rigid Metal Conduit - Steel,(Ed. 15),UL,"November 28, 2022",Type: ulcsance
Standard for Electrical Rigid Metal Conduit - Aluminum and Stainless Steel,(Ed. 2),UL,"October 31, 2008",Type: ulcsance
Outline of Investigation for Pump Tank Extinguishers,(Ed. 3),UL,"November 17, 2006",Type: outline
Water Based Agent Fire Extinguishers,(Ed. 7),UL,"November 25, 2016",Type: ululc
Standard for Fire Tests of Window Assemblies,(Ed. 8),UL,"July 02, 2009",Type: ulstd
Subject 10 - Fire Doors,(Ed. 1),UL,"March 30, 2015",N/A
Guide for Evaluating Doors and Frames for Listing and Labelling,(Ed. 1),ULC,"November 01, 1986",N/A
Standard for Tin-Clad Fire Doors,(Ed. 21),UL,"January 30, 2009",Type: ulstd
Standard for Fire Tests of Door Assemblies,(Ed. 10),UL,"February 07, 2008",Type: ulstd
Seguridad contra incendio - Conjuntos de montaje de puertas contra incendio - M�todo de prueba de presi�n positiva. ,(Ed. 1),NMX,"February 24, 2021",Type: nmx
Standard for Positive Pressure Fire Tests of Door Assemblies,(Ed. 3),UL,"June 09, 2016",Type: ulstd
Standard for Fire Tests of Fire-Protective Curtain Assemblies,(Ed. 2),UL,"September 29, 2017",Type: ulstd
Standard for Power-Limited Circuit Cables,(Ed. 4),UL,"March 18, 2015",Type: ulstd
Guide for Hardware for Fire Doors and Emergency Exits,(Ed. 1),ULC,"July 01, 1985",N/A
"Standard for Sliding Hardware for Standard, Horizontally Mounted Tin-Clad Fire Doors",(Ed. 9),UL,"December 15, 2008",Type: ulstd
Standard for Swinging Hardware for Standard Tin-Clad Fire Doors Mounted Singly and in Pairs,(Ed. 8),UL,"October 27, 2006",Type: ulstd
Standard for Lined Fire Hose and Hose Assemblies,(Ed. 14),UL,"August 13, 2018",Type: ulstd
Guidance for Lined Fire Hose and Hose Assemblies,(Ed. 1),UL,"August 13, 2018",N/A
General-Use Snap Switches,(Ed. 14),UL,"July 20, 2018",Type: ulcsance
Standard for LP-Gas Hose,(Ed. 11),UL,"December 15, 2014",Type: ulstd
Standard for Amusement and Gaming Machines,(Ed. 6),UL,"May 30, 2008",Type: ulstd
Meters for Flammable and Combustible Liquids and LP-Gas / Compteurs de liquides inflammables et combustibles et de gaz de p�trole liqu�fi�,(Ed. 10),UL,"October 27, 2021",Type: ulcanada
ANSI/CAN/UL/ULC Meters for Flammable and Combustible Liquids and LP-Gas	 / Compteurs de liquides inflammables et combustibles et de gaz de p�trole liqu�fi�,(Ed. 10),ULC,"October 27, 2021",Type: canulc
Meters for Gasoline and Gasoline/Ethanol Blends with Nominal Ethanol Concentrations up to 85 Percent (E0 - E85),(Ed. 1),UL,"July 30, 2014",Type: ulstd
"Meters for Diesel Fuel, Biodiesel Fuel, Diesel/Biodiesel Blends with Nominal Biodiesel Concentrations up to 20 Percent (B20), Kerosene, and Fuel Oil",(Ed. 1),UL,"July 30, 2014",Type: ulstd
Metallic and Nonmetallic Safety Cans for Flammable and Combustible Liquids / Les bidons de s�curit� m�talliques et non m�talliques pour liquides inflammables et combustibles,(Ed. 10),UL,"April 29, 2022",Type: ulcanada
Metallic and Nonmetallic Safety Cans for Flammable and Combustible Liquids / Les bidons de s�curit� m�talliques et non m�talliques pour liquides inflammables et combustibles,(Ed. 10),ULC,"April 29, 2022",Type: ulc
Standard for Metal Waste Cans,(Ed. 5),UL,"September 29, 1994",Type: ulstd
